K35 FPS FK in Steueranlagezehntel;;;;;;;;;
Kurzbeschrieb: Fremdkapital dividiert durch Ertrag eines Steueranlagezehntels.




BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [SAZ];2003 [SAZ];2004 [SAZ];2005 [SAZ];2006 [SAZ];2007 [SAZ];2008 [SAZ];2009 [SAZ];2010 [SAZ];2011 [SAZ]
493;Finsterhennen;501.0;243;8;20;;44.53;46.49;72.91;68.15;75.62;54.61;55.69;58.14;52.87;50.99
926;Forst;0.0;247;24;15;;11.13;20.81;16.97;18.23;19.75;0.00;0.00;0.00;0.00;0.00
948;Forst-Längenbühl;704.0;247;24;19;;0.00;0.00;0.00;0.00;0.00;15.22;13.30;11.56;8.95;11.06
538;Fraubrunnen;1791.0;246;9;11;351;37.60;31.01;24.64;17.07;18.00;20.79;17.93;15.65;29.14;29.85
663;Frauenkappelen;1256.0;246;14;11;351;20.81;16.11;15.83;16.02;18.36;19.04;16.97;14.84;15.08;10.48
607;Freimettigen;424.0;246;12;15;;11.54;12.08;10.50;22.78;18.44;7.38;6.82;8.34;8.45;7.64
563;Frutigen;6703.0;249;10;4;;64.96;59.59;47.81;38.12;34.43;24.46;26.26;26.21;26.66;26.88
781;Gadmen;229.0;250;18;22;;97.16;100.03;111.52;72.21;54.48;60.46;44.07;38.39;33.15;38.15
494;Gals;729.0;243;8;20;;62.00;64.48;59.82;48.39;45.04;36.15;30.52;32.99;21.67;22.34
495;Gampelen;791.0;243;8;17;;23.62;18.37;12.33;16.51;12.25;12.84;7.54;6.54;6.34;21.00
865;Gelterfingen;242.0;246;22;21;;16.71;15.99;14.21;12.69;14.31;2.72;11.35;6.47;5.26;5.17
866;Gerzensee;1134.0;246;22;20;;45.19;35.51;32.15;30.97;25.02;18.62;16.21;19.65;14.24;12.63
664;Golaten;303.0;246;14;21;;44.34;37.69;21.88;4.41;6.42;9.07;8.21;5.77;6.28;10.00
326;Gondiswil;724.0;244;2;19;;12.94;14.25;32.12;38.81;29.87;13.83;10.73;11.36;10.11;9.80
976;Graben;291.0;244;26;15;;9.67;8.36;8.44;14.40;1.69;1.97;9.24;4.16;2.77;3.29
539;Grafenried;976.0;246;9;11;351;20.59;19.05;23.51;21.44;18.91;13.05;11.38;11.28;9.14;9.62
694;Grandval;351.0;241;15;18;;118.19;112.78;109.84;92.78;87.06;83.00;61.28;50.84;69.45;63.26
576;Grindelwald;4040.0;250;11;6;;58.77;42.93;43.43;43.39;43.18;38.64;33.29;32.33;29.67;35.73
303;Grossaffoltern;2812.0;243;1;15;;47.45;34.72;38.65;28.18;24.81;23.60;18.55;25.40;26.28;23.47
608;Grosshöchstetten;3289.0;246;12;11;351;30.46;26.32;23.18;16.08;16.04;12.38;14.89;13.15;18.15;16.99
841;Gsteig;986.0;248;20;20;;7.40;11.51;12.71;12.47;17.95;10.25;10.17;33.57;8.87;10.48
577;Gsteigwiler;430.0;250;11;14;;131.07;121.72;95.04;90.72;86.55;61.76;56.39;55.03;51.49;112.86
852;Guggisberg;1585.0;246;21;21;;43.86;34.50;35.97;44.36;38.55;33.57;26.72;23.41;21.58;7.01
665;Gurbrü;245.0;246;14;21;;19.40;14.36;12.72;43.76;41.33;33.80;29.31;26.66;21.60;21.30
867;Gurzelen;798.0;247;22;19;;13.60;11.01;9.50;6.97;8.96;11.81;7.53;7.64;7.64;7.20
327;Gutenburg;0.0;244;2;15;;27.85;3.94;7.30;6.75;4.93;0.00;0.00;0.00;0.00;0.00
782;Guttannen;321.0;250;18;7;;143.63;84.73;24.40;56.98;50.20;49.60;48.27;52.06;52.35;49.62
578;Gündlischwand;284.0;250;11;17;;62.24;40.25;19.95;23.24;23.61;17.57;14.38;3.88;2.96;4.39
579;Habkern;640.0;250;11;21;;45.09;54.36;40.17;46.02;58.63;59.81;93.62;83.45;60.31;68.41
736;Hagneck;415.0;243;16;15;;46.74;29.86;11.65;13.70;9.27;8.12;5.89;3.83;3.01;3.72
406;Hasle b.B.;3170.0;245;6;16;;40.58;43.61;42.44;30.97;26.21;22.12;25.34;22.07;26.93;28.93
783;Hasliberg;1229.0;250;18;6;;66.93;73.89;65.99;79.23;86.01;74.59;72.99;65.87;52.48;48.29
927;Heiligenschwendi;675.0;247;24;7;;12.80;6.06;7.20;11.69;5.57;7.20;21.25;41.21;39.03;36.34
928;Heimberg;6365.0;247;24;12;942;22.93;16.17;15.50;11.66;8.63;6.39;3.05;4.25;3.67;3.82
977;Heimenhausen;1016.0;244;26;15;;15.53;6.00;6.16;6.85;4.40;3.71;7.40;2.75;2.78;4.01
407;Heimiswil;1636.0;245;6;21;;24.09;16.15;16.45;18.15;16.95;17.56;15.18;15.17;15.13;14.83
408;Hellsau;192.0;245;6;19;;33.42;19.00;22.12;14.14;15.70;17.58;9.84;10.05;6.84;10.39
610;Herbligen;551.0;246;12;16;;43.79;28.62;25.97;20.67;25.05;20.89;18.95;6.00;5.34;7.29
978;Hermiswil;96.0;244;26;20;;35.54;8.05;8.92;8.09;7.66;5.81;6.65;7.39;7.59;14.69
737;Hermrigen;262.0;243;16;16;;27.51;38.47;45.61;38.97;40.35;22.24;11.22;1.78;2.39;1.64
979;Herzogenbuchsee;6795.0;244;26;4;;30.17;28.97;27.45;24.07;16.54;15.30;10.09;5.41;7.29;7.06
929;Hilterfingen;3998.0;247;24;13;942;43.85;39.79;39.13;35.66;23.56;20.56;19.26;14.11;12.15;10.00
