K5 BVA Bruttoverschuldungsanteil;;;;;;;;;
Die Bruttoschulden (inkl. Sonderrechnungen) werden in Prozent des Finanzertrages dargestellt.
Damit wird die Verschuldungssituation ersichtlich. Die Verschuldung wird als kritisch eingestuft,
wenn die Schwelle von 200 % überschritten wird.


BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [PROZ];2003 [PROZ];2004 [PROZ];2005 [PROZ];2006 [PROZ];2007 [PROZ];2008 [PROZ];2009 [PROZ];2010 [PROZ];2011 [PROZ]
607;Freimettigen;424.0;246;12;15;;24.5;20.2;18.4;54.5;53.2;13.9;9.5;11.4;12.8;11.1
563;Frutigen;6703.0;249;10;4;;131.6;114.5;90.7;74.3;66.3;48.3;50.8;46.9;47.1;48.5
781;Gadmen;229.0;250;18;22;;86.2;83.7;80.1;55.4;44.4;36.6;33.4;30.0;30.2;28.1
494;Gals;729.0;243;8;20;;162.3;146.5;119.2;116.8;102.4;82.6;73.8;72.8;59.1;55.2
495;Gampelen;791.0;243;8;17;;42.2;33.3;21.6;25.2;18.4;16.6;2.6;2.9;2.7;37.3
865;Gelterfingen;242.0;246;22;21;;36.9;24.8;32.8;30.6;31.0;1.4;14.7;1.6;0.9;0.9
866;Gerzensee;1134.0;246;22;20;;71.0;89.0;73.1;69.1;53.2;26.7;35.0;41.0;24.8;24.2
664;Golaten;303.0;246;14;21;;0.00;0.00;0.00;0.00;0.00;0.4;0.3;0.3;0.3;0.3
326;Gondiswil;724.0;244;2;19;;18.8;24.7;55.0;61.9;27.6;23.0;19.6;19.7;17.8;15.7
976;Graben;291.0;244;26;15;;2.0;1.5;1.6;1.3;0.9;0.9;1.1;1.4;1.6;1.7
539;Grafenried;976.0;246;9;11;351;52.8;38.2;50.0;55.4;50.0;28.9;28.9;29.0;27.8;28.3
694;Grandval;351.0;241;15;18;;252.1;259.5;197.4;181.9;175.1;162.8;141.9;107.1;124.9;116.7
576;Grindelwald;4040.0;250;11;6;;89.8;79.5;65.7;74.7;75.1;61.5;58.0;56.7;39.1;54.6
303;Grossaffoltern;2812.0;243;1;15;;99.2;94.7;95.7;73.3;65.0;63.5;45.7;72.2;73.3;55.4
608;Grosshöchstetten;3289.0;246;12;11;351;53.0;47.6;43.7;33.3;30.0;21.7;22.5;25.9;40.5;39.0
841;Gsteig;986.0;248;20;20;;5.0;5.1;5.0;10.6;21.7;9.6;8.2;7.3;6.7;6.7
577;Gsteigwiler;430.0;250;11;14;;228.5;216.9;178.8;190.4;154.6;133.0;120.4;103.4;114.2;199.8
852;Guggisberg;1585.0;246;21;21;;50.6;36.8;48.5;60.3;51.3;44.0;38.7;29.2;14.4;2.6
665;Gurbrü;245.0;246;14;21;;49.2;30.3;33.7;115.9;118.2;71.9;75.5;61.6;38.5;51.6
867;Gurzelen;798.0;247;22;19;;12.4;8.0;7.0;5.6;9.0;8.3;7.0;7.0;6.0;4.6
327;Gutenburg;0.0;244;2;15;;0.00;0.00;4.0;8.4;0.9;0.00;0.00;0.00;0.00;0.00
782;Guttannen;321.0;250;18;7;;119.0;64.8;40.7;60.1;70.6;58.9;63.0;52.6;50.4;44.3
578;Gündlischwand;284.0;250;11;17;;87.5;48.9;26.1;36.5;40.4;23.8;18.0;0.00;0.00;0.00
579;Habkern;640.0;250;11;21;;44.3;41.5;40.5;41.6;45.5;50.9;90.6;85.2;62.2;60.4
736;Hagneck;415.0;243;16;15;;89.8;45.3;23.3;28.4;22.1;15.3;11.0;1.7;0.00;0.00
406;Hasle b.B.;3170.0;245;6;16;;85.6;84.8;74.5;76.5;58.9;43.3;32.7;42.7;55.5;73.7
783;Hasliberg;1229.0;250;18;6;;117.8;120.3;120.1;125.6;142.3;118.1;132.7;110.1;92.9;73.2
927;Heiligenschwendi;675.0;247;24;7;;2.3;1.6;9.2;8.2;6.6;6.6;43.6;90.2;81.8;78.2
