K6 IA Investitionsanteil;;;;;;;;;
Die Bruttoinvestitionen werden in Prozent der konsolidierten Ausgaben dargestellt. Damit
wird ersichtlich, wie hoch der Anteil der Bruttoinvestitionen an den konsolidierten Ausgaben ist.
Die Kennzahl zeigt die Aktivität im Bereich der Investitionen und/oder die Zunahme der
Nettoverschuldung, sie sagt jedoch alleine nichts über die finanzielle Situation der Gemeinde aus.

BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [PROZ];2003 [PROZ];2004 [PROZ];2005 [PROZ];2006 [PROZ];2007 [PROZ];2008 [PROZ];2009 [PROZ];2010 [PROZ];2011 [PROZ]
691;Crémines;550.0;241;15;18;;13.6;17.9;10.1;10.7;0.7;14.2;22.6;17.4;12.0;15.0
535;Deisswil b.M.;97.0;246;9;15;;1.2;34.1;8.5;56.3;47.9;7.4;3.7;8.4;4.9;9.5
536;Diemerswil;199.0;246;9;11;351;0.00;0.00;8.5;6.3;0.00;2.7;5.9;1.0;27.2;5.8
762;Diemtigen;2140.0;249;17;21;;6.4;6.0;7.3;12.9;17.0;37.0;18.2;20.4;14.3;12.0
385;Diessbach b.B.;923.0;243;5;15;;5.8;1.3;2.1;1.1;6.8;4.1;2.3;1.4;3.7;4.8
721;Diesse;443.0;241;13;17;;1.8;1.8;9.0;13.8;4.0;10.0;8.8;12.3;18.5;10.0
386;Dotzigen;1358.0;243;5;15;;6.3;7.1;8.2;5.4;4.1;13.3;9.8;10.7;9.9;17.6
575;Därligen;416.0;250;11;15;;3.3;4.8;5.4;7.7;2.8;3.4;1.4;8.6;0.4;4.3
761;Därstetten;833.0;249;17;19;;0.00;0.00;9.6;9.8;13.8;15.5;8.5;9.4;19.0;18.3
952;Dürrenroth;1064.0;245;25;21;;15.0;10.5;6.1;12.4;10.2;8.6;30.7;30.8;8.8;9.2
901;Eggiwil;2453.0;245;23;21;;14.3;11.9;19.6;12.8;10.4;13.2;20.6;5.9;19.2;10.0
864;Englisberg;0.0;246;22;8;;53.5;13.5;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
735;Epsach;341.0;243;16;16;;22.2;10.8;3.4;6.5;4.4;8.4;20.0;11.7;5.9;18.9
953;Eriswil;1347.0;244;25;19;;15.6;37.4;42.4;15.7;16.9;18.0;11.4;7.8;13.2;6.4
924;Eriz;496.0;247;24;21;;28.9;54.1;62.1;8.9;16.8;4.0;1.4;33.3;31.2;45.0
492;Erlach;1278.0;243;8;17;;16.2;9.1;18.2;7.1;11.9;5.4;4.7;1.9;2.8;2.9
763;Erlenbach i.S.;1695.0;249;17;20;;6.0;5.5;11.9;8.4;30.7;16.2;8.1;9.7;26.7;22.9
405;Ersigen;1589.0;245;6;19;;10.1;16.9;17.3;22.0;19.3;14.4;27.6;29.8;17.8;14.2
