K1 SFG Selbstfinanzierungsgrad;;;;;;;;;
Der Selbstfinanzierungsgrad gibt Antwort auf die Frage, wie weit die Investitionen aus
selbst erarbeiteten Mitteln bezahlt werden können. Ein Selbstfinanzierungsgrad von
unter 100 % führt zu einer Neuverschuldung, von über 100 % zu einer Entschuldung. Es handelt sich um
unbereinigte Zahlen.

BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [PROZ];2003 [PROZ];2004 [PROZ];2005 [PROZ];2006 [PROZ];2007 [PROZ];2008 [PROZ];2009 [PROZ];2010 [PROZ];2011 [PROZ]
783;Hasliberg;1229.0;250;18;6;;201.4;38.2;112.3;39.6;40.8;166.3;91.8;1520.2;171.8;96.6
927;Heiligenschwendi;675.0;247;24;7;;82.9;47.8;58.8;138.6;177.7;169.7;789.8;320.3;89.2;241.4
928;Heimberg;6365.0;247;24;12;942;175.1;150.8;110.7;354.1;174.9;203.6;-1412.6;125.6;179.4;458.6
977;Heimenhausen;1016.0;244;26;15;;464.2;560.0;4514.8;-189.2;4931.1;88.4;-0.9;629.8;40.6;111.3
407;Heimiswil;1636.0;245;6;21;;245.7;416.2;131.4;85.6;193.2;95.7;118.5;174.0;44.6;124.1
408;Hellsau;192.0;245;6;19;;-10414.4;1763.1;689.2;40.6;-56.6;-712.4;12.7;534.4;237.9;244.5
610;Herbligen;551.0;246;12;16;;580.4;2027.4;687.4;626.1;-242.2;-36.6;1343.5;1123.1;59.8;98.1
978;Hermiswil;96.0;244;26;20;;0.00;373.4;9.3;-1780.3;1815.0;-98.2;-29.3;-73.4;-127.9;32.8
737;Hermrigen;262.0;243;16;16;;-50.4;297.6;555.3;614.2;42.1;-285.8;347.9;53.1;80.6;66.2
979;Herzogenbuchsee;6795.0;244;26;4;;157.7;112.0;1110.2;184.3;724.0;52.1;4.0;0.4;-14.1;-13.1
929;Hilterfingen;3998.0;247;24;13;942;96.9;0.00;208.7;198.2;498.0;511.3;744.7;1748.6;466.1;142.8
409;Hindelbank;2094.0;245;6;17;;0.00;637.3;41.8;179.2;318.7;154.2;101.6;676.4;245.9;62.9
580;Hofstetten b.B.;567.0;250;11;17;;187.2;421.3;6268.7;704.0;73.6;202.0;320.1;654.8;111.1;199.8
931;Homberg;502.0;247;24;21;;66.7;178.0;735.1;795.2;2043.0;377.2;71.4;633.9;589.4;152.8
932;Horrenbach-Buchen;259.0;247;24;21;;166.0;-111.6;52.6;46.1;-46.1;1118.5;60.5;234.0;286.0;72.8
954;Huttwil;4726.0;244;25;18;;0.00;101.6;176.1;202.8;1324.2;187.8;50.4;70.0;165.0;107.3
609;Häutligen;239.0;246;12;21;;1928.7;193.8;364.7;-16.1;1992.5;76.2;-174101.0;-15.5;-775.0;94.3
410;Höchstetten;258.0;245;6;19;;0.00;0.00;0.00;0.00;53.4;136.9;116.9;-330.0;47.6;341.4
930;Höfen;441.0;247;24;16;;508.2;33.3;74.2;328.3;2213.5;575.0;131.6;393.7;819.4;16168.6
541;Iffwil;409.0;246;9;20;;-32.8;124.2;294.9;-76.2;-171.2;161.7;65.3;15.7;408.9;492.5
