K4 ZBA Zinsbelastungsanteil;;;;;;;;;
Der Zinsbelastungsanteil gibt Antwort auf die Frage, wie stark der Finanzertrag durch den
Zinsendienst belastet ist. Im Vergleich über mehrere Jahre wird die Verschuldungstendenz und
im Vergleich zu anderen Gemeinden die Verschuldungssituation erkannt.


BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [PROZ];2003 [PROZ];2004 [PROZ];2005 [PROZ];2006 [PROZ];2007 [PROZ];2008 [PROZ];2009 [PROZ];2010 [PROZ];2011 [PROZ]
690;Court;1390.0;241;15;18;;4.4;4.7;3.7;4.1;3.6;3.2;2.5;2.8;2.6;1.3
434;Courtelary;1283.0;241;7;18;;1.6;1.3;0.7;0.3;0.3;0.6;0.5;0.3;-0.5;-0.8
691;Crémines;550.0;241;15;18;;1.7;-1.1;-1.9;-0.9;-0.9;1.7;-0.3;-0.2;2.8;2.1
535;Deisswil b.M.;97.0;246;9;15;;-12.8;-10.8;-9.0;-4.6;-3.0;-12.8;-12.6;-11.5;-2.9;-11.0
536;Diemerswil;199.0;246;9;11;351;-1.9;-2.8;-1.7;-1.7;-3.0;-2.9;-1.6;-1.5;-1.4;-5.3
762;Diemtigen;2140.0;249;17;21;;0.7;0.2;1.8;0.8;0.4;0.4;1.1;0.5;0.2;0.1
385;Diessbach b.B.;923.0;243;5;15;;3.9;2.9;1.3;0.9;0.6;-0.1;-1.2;-0.9;-1.4;-1.0
721;Diesse;443.0;241;13;17;;-0.9;1.4;-1.2;0.4;-0.5;-1.6;0.2;1.0;-1.4;-1.2
386;Dotzigen;1358.0;243;5;15;;-0.1;0.3;0.1;0.4;-0.8;-1.4;-1.6;-1.3;-1.3;-1.2
575;Därligen;416.0;250;11;15;;-0.2;-0.2;-0.3;1.4;1.1;0.6;0.5;-0.8;-2.1;-9.6
761;Därstetten;833.0;249;17;19;;-0.4;-1.5;-1.0;-1.8;-1.7;-3.1;-2.4;-2.8;-1.3;-1.5
952;Dürrenroth;1064.0;245;25;21;;0.7;0.8;1.3;1.3;0.2;-0.7;-1.5;0.0;-0.1;-0.1
901;Eggiwil;2453.0;245;23;21;;-1.6;-0.7;-1.7;-0.8;-1.2;-1.2;-1.0;-0.7;-0.9;-0.2
864;Englisberg;0.0;246;22;8;;-5.1;-2.6;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
735;Epsach;341.0;243;16;16;;1.3;-0.1;-1.3;0.1;-1.1;-1.4;-1.8;-3.3;-2.6;-0.6
953;Eriswil;1347.0;244;25;19;;-0.7;-0.9;-0.8;-0.8;-0.7;-1.1;-1.2;-0.9;-0.8;-0.6
924;Eriz;496.0;247;24;21;;-2.6;-0.4;-0.7;-0.9;-0.0;-1.3;-2.9;-0.6;-1.1;-1.4
492;Erlach;1278.0;243;8;17;;-0.2;-0.4;0.4;0.2;0.2;0.3;-0.0;1.0;0.9;-0.4
763;Erlenbach i.S.;1695.0;249;17;20;;1.2;0.0;0.1;-0.8;-0.0;-0.4;-1.3;-1.8;-1.2;-2.3
405;Ersigen;1589.0;245;6;19;;3.8;3.5;3.2;1.4;1.1;0.8;0.8;0.8;0.9;0.9
692;Eschert;377.0;241;15;19;;-0.2;-0.1;-0.1;0.4;-4.4;-3.8;-4.3;-1.7;-4.2;-3.8
537;Etzelkofen;289.0;246;9;18;;-7.2;-6.2;-6.8;-7.2;-7.6;-7.3;-7.0;-7.0;-7.3;-6.7
372;Evilard;2424.0;242;4;5;371;0.8;-1.0;-1.6;-1.2;-1.1;-1.4;-2.5;-2.3;-1.1;-2.9
925;Fahrni;741.0;247;24;20;;-0.2;1.0;-0.7;-0.3;-1.6;-0.5;-0.3;-0.0;5.2;0.4
975;Farnern;209.0;244;26;15;;-0.4;-0.9;-1.5;-1.6;-1.6;-4.5;-2.2;-2.9;-2.2;-2.0
662;Ferenbalm;1270.0;246;14;15;;0.2;-6.3;0.0;-0.9;-1.1;-1.3;-1.6;9.3;-1.8;-1.8
493;Finsterhennen;501.0;243;8;20;;1.1;0.8;-1.3;4.7;5.4;2.6;3.6;2.8;3.4;4.3
926;Forst;0.0;247;24;15;;-1.2;-1.5;-0.8;0.7;-1.5;0.00;0.00;0.00;0.00;0.00
948;Forst-Längenbühl;704.0;247;24;19;;0.00;0.00;0.00;0.00;0.00;-0.7;-1.4;-1.2;-1.1;-3.0
538;Fraubrunnen;1791.0;246;9;11;351;-3.2;-3.5;-3.8;-4.6;-5.0;-4.4;-4.4;-4.9;-2.9;-3.4
663;Frauenkappelen;1256.0;246;14;11;351;1.2;0.6;0.2;-0.2;-0.1;0.4;1.0;0.7;0.3;-0.1
607;Freimettigen;424.0;246;12;15;;-7.8;-6.6;-6.6;-5.9;-4.8;-4.8;-4.8;-5.1;-4.6;-4.7
563;Frutigen;6703.0;249;10;4;;2.9;2.0;1.5;1.4;0.5;2.0;-0.5;-0.5;-0.7;-1.1
781;Gadmen;229.0;250;18;22;;-1.6;-1.7;-0.8;-1.2;-2.2;-2.5;-2.7;-2.7;-2.8;-2.3
494;Gals;729.0;243;8;20;;2.1;2.2;0.8;-0.0;-1.0;0.1;-1.6;-2.2;-1.8;-2.4
495;Gampelen;791.0;243;8;17;;-1.5;-1.3;-2.1;-1.4;-1.4;-1.3;-1.7;-2.0;-2.4;-1.7
865;Gelterfingen;242.0;246;22;21;;-1.0;-1.8;-3.1;-3.3;-2.0;-2.6;-3.8;-0.9;-2.4;-3.8
866;Gerzensee;1134.0;246;22;20;;-0.2;1.1;0.3;0.8;0.6;-0.1;-1.1;-0.7;-1.0;-0.9
664;Golaten;303.0;246;14;21;;-4.3;-5.2;-5.4;-3.8;-7.7;-8.7;-8.9;-7.4;-5.8;-5.7
326;Gondiswil;724.0;244;2;19;;-0.5;-0.8;-0.6;0.1;-0.4;-1.8;-2.5;-1.4;-1.2;-0.9
976;Graben;291.0;244;26;15;;-4.7;-3.7;-4.0;-2.5;-2.2;-2.8;-6.5;-4.4;-4.7;-5.3
539;Grafenried;976.0;246;9;11;351;0.7;0.8;0.1;0.4;0.2;-0.1;-0.5;-0.4;-1.7;-1.8
