K2 SFA Selbstfinanzierungsanteil;;;;;;;;;
Der Selbstfinanzierungsanteil gibt  Auskunft über die finanzielle Leistungsfähigkeit
einer Gemeinde. Je höher der Wert, um so grösser ist der Spielraum für den Schuldenabbau
oder die Finanzierung von Investitionen und deren Folgekosten.


BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [PROZ];2003 [PROZ];2004 [PROZ];2005 [PROZ];2006 [PROZ];2007 [PROZ];2008 [PROZ];2009 [PROZ];2010 [PROZ];2011 [PROZ]
432;Cormoret;495.0;241;7;15;;11.9;14.2;6.3;18.8;18.4;22.8;22.9;18.9;16.0;14.1
433;Cortébert;697.0;241;7;15;;13.5;15.6;13.5;10.0;13.9;21.6;19.9;19.6;13.7;16.0
690;Court;1390.0;241;15;18;;9.6;10.5;6.9;11.6;19.2;23.8;20.5;13.7;11.3;15.1
434;Courtelary;1283.0;241;7;18;;2.6;5.7;14.1;14.2;10.8;15.0;21.9;20.0;6.4;4.0
691;Crémines;550.0;241;15;18;;-4.1;9.8;21.4;18.5;11.1;17.8;11.9;13.8;7.6;3.3
535;Deisswil b.M.;97.0;246;9;15;;-5.1;8.3;6.1;19.4;-1.9;-0.4;10.7;19.2;34.4;-43.1
536;Diemerswil;199.0;246;9;11;351;9.9;-8.3;17.8;27.0;12.7;23.9;17.6;15.0;20.5;33.1
762;Diemtigen;2140.0;249;17;21;;10.0;8.8;7.3;6.7;0.8;8.1;13.2;22.5;17.3;14.3
385;Diessbach b.B.;923.0;243;5;15;;8.5;6.2;12.8;19.0;14.7;16.4;14.7;19.5;23.6;13.2
721;Diesse;443.0;241;13;17;;-16.4;-3.5;13.6;10.2;13.2;12.2;11.0;19.3;24.6;20.2
386;Dotzigen;1358.0;243;5;15;;18.8;7.2;10.7;11.3;19.4;20.0;17.3;12.3;17.7;17.1
575;Därligen;416.0;250;11;15;;-8.3;35.2;-26.5;-48.2;-2.1;15.5;20.8;10.4;14.9;19.5
761;Därstetten;833.0;249;17;19;;18.6;6.5;15.7;21.0;19.7;15.8;12.0;16.3;10.7;6.4
952;Dürrenroth;1064.0;245;25;21;;15.6;6.3;6.0;8.8;65.1;12.7;-1.0;12.0;14.0;19.3
901;Eggiwil;2453.0;245;23;21;;14.7;9.7;19.4;12.6;16.8;19.0;28.5;22.4;23.8;9.8
864;Englisberg;0.0;246;22;8;;-5.1;-4.4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
735;Epsach;341.0;243;16;16;;24.3;24.1;37.9;19.2;20.8;38.1;24.1;19.8;15.4;26.6
953;Eriswil;1347.0;244;25;19;;19.5;19.2;15.1;13.4;48.4;18.3;0.8;13.5;9.1;6.7
924;Eriz;496.0;247;24;21;;18.1;41.3;20.2;14.2;36.4;28.6;18.2;30.1;18.0;24.6
492;Erlach;1278.0;243;8;17;;9.1;7.6;7.2;5.1;8.3;5.9;5.0;8.3;5.9;5.1
763;Erlenbach i.S.;1695.0;249;17;20;;10.0;11.3;17.0;13.2;14.2;20.4;11.7;21.6;21.5;22.0
405;Ersigen;1589.0;245;6;19;;16.7;19.7;7.1;19.4;18.4;26.9;18.0;17.8;21.1;17.4
692;Eschert;377.0;241;15;19;;-10.6;1.8;16.2;2.8;12.0;19.6;7.6;5.9;10.0;23.8
537;Etzelkofen;289.0;246;9;18;;19.0;26.2;22.8;16.4;7.0;7.5;18.2;11.1;-3.7;-4.3
372;Evilard;2424.0;242;4;5;371;19.5;8.8;8.1;12.4;31.4;28.9;16.3;10.2;21.4;1.4
925;Fahrni;741.0;247;24;20;;15.9;1.5;13.8;20.0;18.4;11.2;9.5;20.1;23.4;28.6
975;Farnern;209.0;244;26;15;;18.0;23.8;19.3;10.4;18.4;34.2;4.8;-2.3;20.8;10.5
662;Ferenbalm;1270.0;246;14;15;;6.9;2.4;10.1;9.4;13.8;6.2;10.6;12.8;11.3;-3.4
493;Finsterhennen;501.0;243;8;20;;9.4;10.0;12.1;11.7;6.8;24.9;16.0;28.9;14.7;9.3
926;Forst;0.0;247;24;15;;36.5;4.4;16.8;15.8;9.8;0.00;0.00;0.00;0.00;0.00
948;Forst-Längenbühl;704.0;247;24;19;;0.00;0.00;0.00;0.00;0.00;22.7;6.4;8.6;24.8;4.3
538;Fraubrunnen;1791.0;246;9;11;351;14.1;23.0;17.5;15.2;11.8;12.6;8.7;4.3;18.5;7.0
663;Frauenkappelen;1256.0;246;14;11;351;5.9;12.2;5.8;3.6;-0.5;34.7;10.8;14.8;16.3;10.9
607;Freimettigen;424.0;246;12;15;;2.0;8.6;4.6;3.5;4.3;7.4;17.5;14.6;13.3;6.8
563;Frutigen;6703.0;249;10;4;;10.3;17.8;18.5;17.6;14.7;18.7;12.3;14.7;10.0;7.2
781;Gadmen;229.0;250;18;22;;22.9;30.8;16.8;20.8;25.1;26.3;22.3;24.6;8.0;10.2
494;Gals;729.0;243;8;20;;6.7;4.4;14.9;11.6;19.2;12.6;17.5;16.5;22.5;18.8
495;Gampelen;791.0;243;8;17;;12.5;9.9;5.8;-4.5;7.5;20.5;14.0;19.9;13.0;35.9
865;Gelterfingen;242.0;246;22;21;;13.2;14.0;7.9;17.0;9.0;17.1;11.8;19.9;9.3;19.7
866;Gerzensee;1134.0;246;22;20;;18.0;12.3;19.9;17.0;22.4;45.6;25.5;10.8;18.2;17.6
664;Golaten;303.0;246;14;21;;24.2;7.4;25.1;38.7;-1.8;1.8;-15.3;-0.8;19.8;-0.1
326;Gondiswil;724.0;244;2;19;;10.2;9.6;7.2;9.6;50.8;4.3;13.4;11.2;9.8;10.2
976;Graben;291.0;244;26;15;;4.8;15.7;18.9;25.2;48.4;44.8;16.9;21.6;21.4;11.6
539;Grafenried;976.0;246;9;11;351;20.6;12.6;25.7;23.2;16.3;28.4;25.7;24.1;24.3;18.2
694;Grandval;351.0;241;15;18;;7.8;12.4;14.8;13.6;20.1;19.4;18.5;14.5;11.4;16.1
576;Grindelwald;4040.0;250;11;6;;20.8;26.3;28.6;16.6;15.5;21.0;23.6;23.0;19.8;25.0
