K33 IQ Investitionsquote;;;;;;;;;
Kurzbeschrieb: Nettoinvestitionen dividiert durch den Finanzertrag.
Finanzertrag = Total Ertrag Laufende Rechnung ohne Durchlaufende Beiträge (47), Entnahmen aus
Spezialfinanzierungen (48) und interne Verrechnungen (49).


BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [PROZ];2003 [PROZ];2004 [PROZ];2005 [PROZ];2006 [PROZ];2007 [PROZ];2008 [PROZ];2009 [PROZ];2010 [PROZ];2011 [PROZ]
924;Eriz;496.0;247;24;21;;0.02;0.37;1.04;0.02;0.11;0.00;0.00;0.08;0.09;0.47
492;Erlach;1278.0;243;8;17;;0.15;0.06;0.12;0.06;0.11;0.04;0.02;0.01;0.02;0.02
763;Erlenbach i.S.;1695.0;249;17;20;;0.04;0.03;0.06;0.01;0.12;0.10;0.05;0.06;0.20;0.19
405;Ersigen;1589.0;245;6;19;;0.07;0.15;0.10;0.19;0.11;0.09;0.25;0.31;0.15;0.11
692;Eschert;377.0;241;15;19;;0.22;0.02;0.20;-0.01;-0.15;-0.07;0.17;-0.04;-0.06;0.25
537;Etzelkofen;289.0;246;9;18;;0.09;0.02;0.27;0.07;0.06;0.05;0.06;0.14;0.09;0.10
372;Evilard;2424.0;242;4;5;371;-0.05;0.03;0.06;0.05;0.11;0.07;0.08;0.06;0.05;0.06
925;Fahrni;741.0;247;24;20;;0.05;0.05;0.12;0.02;0.14;0.08;0.09;0.05;0.14;0.25
975;Farnern;209.0;244;26;15;;0.02;0.12;0.01;0.13;0.10;0.34;-0.14;0.01;0.27;0.10
662;Ferenbalm;1270.0;246;14;15;;0.02;0.01;0.03;0.02;0.02;0.14;0.02;0.10;0.05;0.04
493;Finsterhennen;501.0;243;8;20;;0.10;0.36;0.44;-0.04;0.07;0.16;0.26;0.13;0.14;-0.02
926;Forst;0.0;247;24;15;;0.01;0.01;0.00;0.07;0.18;0.00;0.00;0.00;0.00;0.00
948;Forst-Längenbühl;704.0;247;24;19;;0.00;0.00;0.00;0.00;0.00;0.08;0.04;-0.02;0.01;0.02
538;Fraubrunnen;1791.0;246;9;11;351;0.05;0.04;-0.02;0.10;0.12;0.19;0.05;0.07;0.49;0.14
663;Frauenkappelen;1256.0;246;14;11;351;0.09;-0.02;0.06;0.14;0.07;0.30;0.03;0.09;0.07;0.05
607;Freimettigen;424.0;246;12;15;;0.04;0.02;0.13;0.14;0.10;0.10;0.03;0.11;0.26;0.27
563;Frutigen;6703.0;249;10;4;;0.05;0.04;0.04;0.04;0.07;0.05;0.07;0.09;0.09;0.17
781;Gadmen;229.0;250;18;22;;0.05;0.02;0.00;0.01;0.01;0.04;0.34;0.10;0.30;0.52
494;Gals;729.0;243;8;20;;0.19;0.02;-0.11;0.01;-0.01;-0.02;0.04;0.07;0.06;0.20
495;Gampelen;791.0;243;8;17;;0.23;0.00;0.03;-0.02;-0.02;-0.04;0.01;0.02;0.02;0.09
865;Gelterfingen;242.0;246;22;21;;0.07;-0.01;0.04;0.02;0.05;-0.06;0.81;-0.30;0.01;0.24
866;Gerzensee;1134.0;246;22;20;;0.43;0.14;0.09;0.09;0.07;0.28;0.06;0.27;0.13;0.12
664;Golaten;303.0;246;14;21;;0.09;0.07;0.01;0.03;0.01;0.24;0.23;0.13;0.02;0.04
326;Gondiswil;724.0;244;2;19;;0.01;0.05;0.53;0.16;0.01;0.07;0.09;0.23;0.17;0.16
976;Graben;291.0;244;26;15;;0.21;0.13;0.08;0.68;0.01;0.02;0.01;0.32;0.06;0.04
539;Grafenried;976.0;246;9;11;351;0.02;0.07;0.53;0.29;0.07;0.07;0.21;0.16;0.22;0.25
694;Grandval;351.0;241;15;18;;0.00;0.00;0.00;0.00;0.10;0.07;0.01;0.01;0.01;0.09
576;Grindelwald;4040.0;250;11;6;;0.15;0.06;0.14;0.25;0.11;0.20;0.11;0.16;0.30;0.46
303;Grossaffoltern;2812.0;243;1;15;;-0.01;0.04;0.01;0.02;0.05;0.05;0.07;0.20;0.18;0.16
608;Grosshöchstetten;3289.0;246;12;11;351;0.06;0.05;0.06;0.05;0.07;0.05;0.04;0.35;0.19;-0.01
841;Gsteig;986.0;248;20;20;;0.01;0.18;0.19;0.23;0.22;0.13;0.08;0.07;0.08;0.09
577;Gsteigwiler;430.0;250;11;14;;0.03;0.00;0.00;0.04;0.05;0.20;0.06;0.13;0.32;0.69
852;Guggisberg;1585.0;246;21;21;;0.02;0.08;0.14;0.12;0.09;0.11;0.00;0.04;0.04;0.09
665;Gurbrü;245.0;246;14;21;;0.05;0.02;0.12;0.83;0.32;0.04;0.05;0.02;0.02;0.07
867;Gurzelen;798.0;247;22;19;;0.09;0.14;0.10;0.04;0.09;0.11;0.07;0.04;0.09;0.03
327;Gutenburg;0.0;244;2;15;;0.53;0.05;0.08;0.00;0.03;0.00;0.00;0.00;0.00;0.00
782;Guttannen;321.0;250;18;7;;0.23;0.07;0.06;0.12;0.16;0.17;0.14;0.29;0.03;0.35
578;Gündlischwand;284.0;250;11;17;;-0.10;0.00;0.05;0.10;0.19;-0.11;0.01;0.09;0.10;0.07
579;Habkern;640.0;250;11;21;;0.18;0.14;0.10;0.35;0.14;0.37;0.33;0.15;0.03;0.18
736;Hagneck;415.0;243;16;15;;0.10;0.06;0.05;0.07;0.01;0.01;0.02;0.24;0.01;0.03
406;Hasle b.B.;3170.0;245;6;16;;0.00;0.12;0.09;0.06;0.12;0.11;0.19;0.32;0.20;0.02
783;Hasliberg;1229.0;250;18;6;;0.10;0.27;0.18;0.12;0.29;0.13;0.13;0.01;0.12;0.07
927;Heiligenschwendi;675.0;247;24;7;;0.21;0.06;0.16;0.10;0.19;0.11;0.03;0.04;0.19;0.08
928;Heimberg;6365.0;247;24;12;942;0.08;0.11;0.13;0.04;0.09;0.11;-0.02;0.12;0.10;0.03
977;Heimenhausen;1016.0;244;26;15;;0.03;0.02;0.00;0.02;0.01;0.15;0.52;0.03;0.21;0.06
407;Heimiswil;1636.0;245;6;21;;0.05;0.05;0.10;0.19;0.11;0.17;0.05;0.05;0.07;0.06
408;Hellsau;192.0;245;6;19;;0.00;0.02;0.03;0.06;0.08;0.00;0.13;0.02;0.06;0.01
610;Herbligen;551.0;246;12;16;;0.02;0.01;0.02;0.06;0.09;0.03;0.01;0.03;0.28;0.23
978;Hermiswil;96.0;244;26;20;;0.00;0.03;0.05;0.00;0.03;0.08;0.43;0.11;0.06;0.18
737;Hermrigen;262.0;243;16;16;;0.09;0.04;0.03;0.02;0.27;-0.09;0.03;0.12;0.17;0.11
