K37 NPEWZ NettoA pro Einwohner Wehrdienst + Zivilschutz;;;;;;;;;
Kurzbeschrieb: Nettoaufwand Wehrdienst und Zivilschutz (Funktion 140, 160) dividiert durch
die Einwohnerzahl.



BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [SFR];2003 [SFR];2004 [SFR];2005 [SFR];2006 [SFR];2007 [SFR];2008 [SFR];2009 [SFR];2010 [SFR];2011 [SFR]
576;Grindelwald;4040.0;250;11;6;;15.67;14.31;0.00;0.00;11.99;0.00;0.00;0.00;-0.12;0.00
303;Grossaffoltern;2812.0;243;1;15;;17.69;18.17;26.10;21.59;17.48;21.21;27.12;27.17;23.98;22.09
608;Grosshöchstetten;3289.0;246;12;11;351;12.76;27.76;15.92;16.97;-16.57;1.37;-2.31;1.44;3.14;0.92
841;Gsteig;986.0;248;20;20;;12.39;15.23;0.54;0.45;3.50;0.00;0.00;0.00;0.00;6.69
577;Gsteigwiler;430.0;250;11;14;;-18.32;-12.63;8.72;7.21;10.00;15.82;16.37;14.53;13.45;12.72
852;Guggisberg;1585.0;246;21;21;;-10.49;18.71;27.82;35.84;16.62;34.25;15.34;24.76;32.15;38.12
665;Gurbrü;245.0;246;14;21;;-15.55;-4.37;8.55;18.81;7.04;11.93;11.23;15.59;26.54;17.78
867;Gurzelen;798.0;247;22;19;;42.50;18.25;35.80;67.99;27.60;32.35;53.35;52.92;21.85;23.06
327;Gutenburg;0.0;244;2;15;;53.98;76.93;-24.89;80.16;75.44;0.00;0.00;0.00;0.00;0.00
782;Guttannen;321.0;250;18;7;;105.09;108.48;85.39;114.94;126.17;100.58;102.25;165.30;120.76;225.53
578;Gündlischwand;284.0;250;11;17;;29.29;41.51;65.34;37.02;147.44;71.54;137.08;39.32;41.54;18.33
579;Habkern;640.0;250;11;21;;6.70;31.39;15.27;15.05;12.61;13.18;13.63;13.89;13.16;16.90
736;Hagneck;415.0;243;16;15;;16.16;67.36;21.72;25.52;0.26;27.59;12.00;15.20;0.71;-6.20
406;Hasle b.B.;3170.0;245;6;16;;18.59;22.29;31.52;1.03;26.39;15.44;-6.12;7.52;12.71;12.32
783;Hasliberg;1229.0;250;18;6;;68.41;55.45;55.84;88.90;58.27;50.84;42.27;51.15;22.51;59.84
927;Heiligenschwendi;675.0;247;24;7;;19.70;44.69;26.91;47.86;46.43;43.54;68.99;65.70;68.18;65.18
928;Heimberg;6365.0;247;24;12;942;-21.22;32.41;24.05;22.61;18.97;22.11;21.92;20.87;14.94;23.10
977;Heimenhausen;1016.0;244;26;15;;16.48;16.21;18.37;16.32;-3.65;18.28;17.43;19.15;17.19;20.72
407;Heimiswil;1636.0;245;6;21;;17.58;16.52;11.97;13.40;21.50;0.24;8.93;0.00;2.22;0.00
408;Hellsau;192.0;245;6;19;;26.53;-18.04;8.55;7.46;3.62;-1.47;0.00;0.13;-6.76;8.44
610;Herbligen;551.0;246;12;16;;-32.11;-6.80;1.37;12.75;0.00;0.00;0.05;0.93;0.09;0.00
978;Hermiswil;96.0;244;26;20;;12.56;20.17;22.88;14.51;83.90;40.20;15.90;17.42;82.67;-17.52
737;Hermrigen;262.0;243;16;16;;-124.14;0.00;0.00;0.00;-16.77;0.00;0.00;1.58;0.00;0.00
979;Herzogenbuchsee;6795.0;244;26;4;;15.90;14.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
929;Hilterfingen;3998.0;247;24;13;942;27.00;26.13;21.90;28.12;29.76;23.84;29.03;23.89;23.60;21.71
409;Hindelbank;2094.0;245;6;17;;5.02;-2.84;-22.22;-26.13;10.98;3.00;8.52;16.23;-14.95;-6.10
580;Hofstetten b.B.;567.0;250;11;17;;0.00;0.81;0.00;73.21;-24.17;21.41;28.07;-10.61;-6.28;1.25
931;Homberg;502.0;247;24;21;;32.07;32.11;23.04;22.42;27.45;17.43;18.22;24.58;22.61;17.86
932;Horrenbach-Buchen;259.0;247;24;21;;-15.58;20.73;11.15;22.65;25.18;17.81;18.15;21.67;-1.27;41.67
954;Huttwil;4726.0;244;25;18;;25.27;25.96;24.32;21.46;22.43;18.14;22.18;15.19;19.99;17.77
609;Häutligen;239.0;246;12;21;;40.29;68.70;49.56;43.89;63.30;29.06;40.39;56.66;14.85;31.22
410;Höchstetten;258.0;245;6;19;;36.94;-0.84;2.81;0.02;0.00;0.00;0.00;0.00;0.00;0.00
930;Höfen;441.0;247;24;16;;16.35;14.15;0.00;0.00;-5.42;-6.42;-5.61;-6.16;-5.93;-5.67
541;Iffwil;409.0;246;9;20;;-48.36;-9.57;16.77;12.86;17.43;15.54;-8.23;-24.86;11.20;38.49
980;Inkwil;638.0;244;26;15;;9.71;19.03;9.35;-0.73;-11.99;8.89;8.18;15.00;16.96;15.36
784;Innertkirchen;886.0;250;18;19;;167.14;48.37;75.10;74.62;84.14;67.69;57.01;52.23;14.57;98.95
496;Ins;3260.0;243;8;20;;18.20;18.77;16.71;9.13;0.00;0.00;0.00;0.00;0.00;0.00
581;Interlaken;5481.0;250;11;6;;41.47;29.20;21.91;3.43;0.09;8.24;12.20;13.30;14.65;9.39
739;Ipsach;3913.0;242;16;13;371;-7.61;-1.18;-3.59;0.00;0.00;0.00;0.00;0.00;0.00;0.00
582;Iseltwald;432.0;250;11;20;;-4.38;14.41;21.54;15.43;14.01;13.78;15.36;13.81;-10.70;1.25
362;Ittigen;11006.0;246;3;9;351;25.89;20.01;21.33;18.10;19.03;22.46;19.55;20.01;15.05;-2.86
868;Jaberg;258.0;246;22;15;;22.52;94.81;64.61;43.87;24.55;-19.56;11.41;11.24;12.67;16.70
540;Jegenstorf;4680.0;246;9;10;351;14.86;22.82;15.05;0.00;0.00;0.00;0.00;3.85;0.00;0.00
738;Jens;681.0;243;16;15;;24.80;26.40;18.83;3.16;7.77;14.46;7.00;9.86;4.46;43.18
304;Kallnach;1563.0;243;1;19;;9.57;21.10;13.82;3.11;17.51;67.26;-4.82;53.30;22.44;36.41
564;Kandergrund;810.0;249;10;8;;12.07;8.44;10.16;10.04;12.50;15.14;14.52;16.41;16.99;20.04
565;Kandersteg;1261.0;249;10;6;;65.29;60.77;50.22;48.94;41.31;40.79;7.18;8.99;11.52;17.96
305;Kappelen;1278.0;243;1;19;;0.00;0.00;6.27;1.92;17.36;0.00;0.00;0.00;0.00;10.27
869;Kaufdorf;1034.0;246;22;11;351;8.35;15.70;17.65;14.62;17.37;12.65;13.71;16.26;16.07;17.90
