K30 EBPS EK / BF pro Steueranlagezehntel;;;;;;;;;
Kurzbeschrieb: Eigenkapital oder Bilanzfehlbetrag dividiert durch Ertrag eines Steueranlagezehntels.




BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [SAZ];2003 [SAZ];2004 [SAZ];2005 [SAZ];2006 [SAZ];2007 [SAZ];2008 [SAZ];2009 [SAZ];2010 [SAZ];2011 [SAZ]
864;Englisberg;0.0;246;22;8;;81.27;65.72;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
735;Epsach;341.0;243;16;16;;17.89;3.82;4.14;6.90;9.49;18.64;17.57;18.81;19.91;22.36
953;Eriswil;1347.0;244;25;19;;15.48;16.01;19.14;18.60;73.21;64.23;45.33;51.41;53.30;55.22
924;Eriz;496.0;247;24;21;;32.42;40.18;35.23;27.55;27.95;25.52;24.44;27.01;28.24;31.24
492;Erlach;1278.0;243;8;17;;3.94;3.67;4.48;3.17;3.89;4.37;4.68;4.71;4.20;4.91
763;Erlenbach i.S.;1695.0;249;17;20;;14.58;16.28;16.07;15.65;16.22;14.50;9.89;10.07;10.24;10.87
405;Ersigen;1589.0;245;6;19;;4.67;7.32;7.98;7.24;7.89;9.01;9.44;10.59;10.76;11.95
692;Eschert;377.0;241;15;19;;43.18;43.45;39.35;37.37;17.99;14.45;13.61;12.53;13.19;11.92
537;Etzelkofen;289.0;246;9;18;;11.45;14.34;18.10;21.17;20.35;21.84;19.36;20.18;19.63;16.36
372;Evilard;2424.0;242;4;5;371;9.70;9.25;9.11;8.50;8.56;11.64;12.79;12.48;13.06;14.03
925;Fahrni;741.0;247;24;20;;18.55;18.31;14.79;14.37;14.62;13.06;11.62;10.91;11.80;13.09
975;Farnern;209.0;244;26;15;;4.47;6.38;10.24;10.04;11.79;25.74;25.66;27.98;20.86;22.45
662;Ferenbalm;1270.0;246;14;15;;4.92;2.94;3.50;4.86;6.46;6.82;5.76;7.27;9.02;8.27
493;Finsterhennen;501.0;243;8;20;;7.16;8.60;10.84;10.33;7.23;9.19;12.27;23.40;22.91;23.64
926;Forst;0.0;247;24;15;;25.51;34.91;31.21;33.52;32.70;0.00;0.00;0.00;0.00;0.00
948;Forst-Längenbühl;704.0;247;24;19;;0.00;0.00;0.00;0.00;0.00;31.96;26.57;28.12;21.17;29.01
538;Fraubrunnen;1791.0;246;9;11;351;10.52;10.80;11.82;11.34;11.29;10.29;9.08;9.01;6.97;5.51
663;Frauenkappelen;1256.0;246;14;11;351;3.67;4.63;4.92;4.40;2.59;2.67;3.40;5.17;6.23;7.52
607;Freimettigen;424.0;246;12;15;;22.78;20.72;20.96;19.76;14.98;13.87;13.99;13.12;12.65;13.56
563;Frutigen;6703.0;249;10;4;;4.99;2.13;0.50;3.10;3.74;4.09;4.59;4.45;4.96;5.39
781;Gadmen;229.0;250;18;22;;2.59;16.31;26.53;32.50;39.96;45.96;38.47;36.59;36.97;34.96
494;Gals;729.0;243;8;20;;13.01;12.63;14.59;12.91;13.61;11.83;13.24;15.19;13.37;16.13
495;Gampelen;791.0;243;8;17;;11.19;12.40;11.90;9.19;8.19;11.08;13.19;13.29;14.49;15.04
865;Gelterfingen;242.0;246;22;21;;7.22;14.67;19.44;21.53;20.69;21.19;21.22;24.95;24.95;27.60
866;Gerzensee;1134.0;246;22;20;;10.14;8.43;9.13;8.54;8.46;8.31;9.64;10.02;8.86;9.73
664;Golaten;303.0;246;14;21;;72.07;58.85;43.02;31.81;53.19;44.59;34.13;34.73;29.87;28.02
326;Gondiswil;724.0;244;2;19;;20.01;20.06;18.54;16.92;41.49;39.59;36.24;38.35;40.69;40.07
976;Graben;291.0;244;26;15;;21.98;23.74;22.64;23.68;14.88;34.81;34.51;39.42;43.49;42.91
539;Grafenried;976.0;246;9;11;351;8.24;10.50;8.78;8.84;7.09;6.62;6.50;7.34;6.67;6.88
694;Grandval;351.0;241;15;18;;16.39;15.64;14.93;13.32;13.28;13.30;12.08;13.58;16.60;15.65
576;Grindelwald;4040.0;250;11;6;;6.12;6.26;5.76;6.63;7.06;6.93;6.40;8.38;9.53;9.65
303;Grossaffoltern;2812.0;243;1;15;;3.78;3.98;4.35;6.43;8.42;9.57;11.35;13.39;13.71;13.93
608;Grosshöchstetten;3289.0;246;12;11;351;5.60;5.64;5.74;7.05;8.85;9.06;13.61;11.94;7.95;7.98
841;Gsteig;986.0;248;20;20;;32.14;30.70;30.86;27.72;25.15;23.85;22.17;21.42;22.21;25.70
577;Gsteigwiler;430.0;250;11;14;;3.01;0.00;2.04;3.47;9.11;9.22;11.21;13.84;12.93;16.70
852;Guggisberg;1585.0;246;21;21;;2.62;3.84;3.97;3.00;4.86;6.56;8.88;11.81;10.59;12.62
665;Gurbrü;245.0;246;14;21;;15.52;16.83;15.16;14.22;10.87;12.29;8.25;7.72;11.53;9.36
867;Gurzelen;798.0;247;22;19;;48.81;55.85;45.70;38.41;34.48;19.47;17.38;17.50;14.81;12.99
327;Gutenburg;0.0;244;2;15;;53.62;42.73;35.49;39.10;96.02;0.00;0.00;0.00;0.00;0.00
782;Guttannen;321.0;250;18;7;;18.14;14.89;7.74;16.54;12.26;15.10;14.68;17.73;17.69;15.07
